form_title,form_slug,field_key,field_label,field_type,required,options,help_text,section
"Cash Register Till Variance Form","cash-register-till-variance-form","tenderType","Tender Type","radio",TRUE,"Cash;EFTPOS;Gift Vouher;Pickups;Float;VC/MC/BC;Cheque;Diners;Amex;Customer Order Deposit;Credit Card Return;Customer Order Finalised;Tender > Sale Correction","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","varianceAmount","Variance Amount","currency",TRUE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","actionTakenToRectifyVariance","Action taken to rectify Variance","textarea",FALSE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","reasonForVariance","Reason for Variance / Suspected reason for Variance","textarea",TRUE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","canVarianceBeCorrected","Can Variance be corrected?","radio",TRUE,"Yes;No","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","dateToBeCorrected","Date to be corrected","text",FALSE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","doYouHaveImagesToAttach","Do you have images of receipts / documents to attach?","radio",FALSE,"Yes;No","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","imagesToSupport1","Images to Support","file",FALSE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","imagesToSupport2","Images to Support","file",FALSE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","imagesToSupport3","Images to Support","file",FALSE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","doYouHaveASecondVariance","Do you have a Second Variance?","radio",FALSE,"Yes;No","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","varianceType2","Variance Type","radio",FALSE,"Surplus (Over);Deficiency (Under)","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","tenderType2","Tender Type","radio",FALSE,"Cash;EFTPOS;Gift Vouher;Pickups;Float;VC/MC/BC;Cheque;Diners;Amex;Customer Order Deposit;Credit Card Return;Customer Order Finalised;Tender > Sale Correction","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","varianceAmount2","Variance Amount 2","currency",FALSE,"","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","actionTakenToRectifySecondVariance","Action taken to rectify second Variance","textarea",FALSE,"","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","reasonForSecondVariance","Reason for Variance / Suspected reason for second Variance","textarea",FALSE,"","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","canSecondVarianceBeCorrected","Can Second Variance be corrected?","radio",FALSE,"Yes;No","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","dateToBeCorrected2","Date to be corrected","text",FALSE,"","","Second Variance"
"Cash Register Till Variance Form","cash-register-till-variance-form","varianceRecorded","Variance Recorded","radio",FALSE,"Yes;No","","Till Variance Report"
"Cash Register Till Variance Form","cash-register-till-variance-form","reasonRecorded","Reason Recorded","radio",FALSE,"Yes;No","","Till Variance Report"
"Cash Register Till Variance Form","cash-register-till-variance-form","includeInReversals","Include in Reversals","radio",FALSE,"Yes;No","","Till Variance Report"
"Cash Register Till Variance Form","cash-register-till-variance-form","correctionJournalDate","Date","text",FALSE,"","","Correction Journal"
"Cash Register Till Variance Form","cash-register-till-variance-form","debitAndAccount","Debit $ and Account","text",FALSE,"","","Correction Journal"
"Cash Register Till Variance Form","cash-register-till-variance-form","creditAndAccount","Credit $ and Account","text",FALSE,"","","Correction Journal"
"Consumables Order Form","consumables-order-form","orderedBy","Ordered By","text",TRUE,"","",""
"Consumables Order Form","consumables-order-form","store","Store","text",TRUE,"","",""
"Consumables Order Form","consumables-order-form","monthOrdered","I have ordered sufficient quantity for the month of...","radio",TRUE,"January;February;March;April;May;June;July;August;September;October;November;December","",""
"Consumables Order Form","consumables-order-form","delivery","Delivery","radio",TRUE,"Normal;Urgent","",""
"Consumables Order Form","consumables-order-form","printerCartridge","Printer Cartridge","select",FALSE,"Brother HL-1240/1440/1470-TN6600;Epson LQ 1070-7754;Epson TU20 Docket Printer (Acumen)-ECR-34;Kyocera FS-6700/3700+/1700-TK20H;Kyocera FS-1920-TK55;Kyocera FS-1900-TK50;Kyocera FS-1010-TK-17;Kyocera FS-720-TK -110","",""
"Consumables Order Form","consumables-order-form","printerCartridgeQuantity","Printer Cartridge Quantity","number",FALSE,"","",""
"Consumables Order Form","consumables-order-form","photocopiers","Photocopiers","select",FALSE,"Canon Fc-220/PC-740/PC-745/FC-220-E31CAR;Canon NP-4335-T4335;Canon P7120-TG11;Panasonic FP-830-A30 Canon;Xerox XD103F-X06R00915","",""
"Consumables Order Form","consumables-order-form","photocopierCartridgeQuantity","Photocopier Cartridge Quantity","number",FALSE,"","",""
"Consumables Order Form","consumables-order-form","faxes","Faxes","select",FALSE,"Brother MFC4600-TN2000;Brother MFC4800-TN8000;Brother MFC8360P-TN6600;Brother MFC7420-TN2025;Canon MF 5650-EP26CART;Canon 2250/L250-FX3;Canon D380-CARTW;Panasonic UF-550-UG-3313","",""
"Consumables Order Form","consumables-order-form","faxCartridgeQuantity","Fax Cartridge Quantity","number",FALSE,"","",""
"Consumables Order Form","consumables-order-form","sonyCardReaderForEbox","Sony Card Reader for Ebox","text",FALSE,"","",""
"Consumables Order Form","consumables-order-form","additionalConsumables","Additional Consumables (name & quantity required)","textarea",FALSE,"","",""
"Continuous Lighting Kit Voting Form","continuous-lighting-kit-voting-form","yourDefinitiveVote","Do you think this product is viable for Ted's Camera's?","radio",TRUE,"Yes - this product is viable;No - this initiative is not viable","Please consider market demand and supplier availability",""
"Continuous Lighting Kit Voting Form","continuous-lighting-kit-voting-form","viabilityNotes","Viability Notes","textarea",FALSE,"","Provide additional viability information if applicable",""
"Continuous Lighting Kit Voting Form","continuous-lighting-kit-voting-form","supplierNotes","Supplier Notes","textarea",FALSE,"","Provide additional supplier information if applicable",""
"Counselling Form","counselling-form","date","Date","text",TRUE,"","",""
"Counselling Form","counselling-form","employeeSurname","Employee Surname","text",TRUE,"","",""
"Counselling Form","counselling-form","employeeNames","Employee Name(s)","text",TRUE,"","",""
"Counselling Form","counselling-form","role","Role","radio",TRUE,"Store Manager;Assistant Manager;Employee - Store;Employee - Office","",""
"Counselling Form","counselling-form","commencementDate","Commencement Date","text",TRUE,"","",""
"Counselling Form","counselling-form","store","Store","text",TRUE,"","",""
"Counselling Form","counselling-form","pleaseSelectReason","Please select Reason","select",TRUE,"Outstanding Performance;Counselling;Grievance / Complaint;Disciplinary / Corrective;Follow Up","You can select multiple.",""
"Counselling Form","counselling-form","reportOfInterview","Report of Interview","textarea",TRUE,"","",""
"Counselling Form","counselling-form","actionStepsRequired","Action Steps Required","textarea",TRUE,"","",""
"Counselling Form","counselling-form","asThisIsYour","As this is your","radio",FALSE,"First warning;Second warning;Final warning","",""
"Counselling Form","counselling-form","unlessThereIsAnImmediateAndContinuingImprovement","Unless there is an immediate and continuing improvement in your conduct and/or performance of your work, your employment:","radio",FALSE,"may be terminated;will be terminated","",""
"Counselling Form","counselling-form","dateSetForReview","Date Set for Review","text",FALSE,"","",""
"Counselling Form","counselling-form","interviewConductedBySignature","Signature","text",TRUE,"","","INTERVIEW CONDUCTED BY"
"Counselling Form","counselling-form","interviewConductedByPosition","Position","text",TRUE,"","","INTERVIEW CONDUCTED BY"
"Counselling Form","counselling-form","interviewConductedByDate","Date","text",TRUE,"","","INTERVIEW CONDUCTED BY"
"Counselling Form","counselling-form","inThePresenceOfSignature","Signature","text",FALSE,"","","IN THE PRESENCE OF"
"Counselling Form","counselling-form","inThePresenceOfPosition","Position","text",FALSE,"","","IN THE PRESENCE OF"
"Counselling Form","counselling-form","inThePresenceOfDate","Date","text",FALSE,"","","IN THE PRESENCE OF"
"Counselling Form","counselling-form","acknowledgedByEmployeeSignature","Signature","text",TRUE,"","","ACKNOWLEDGED BY EMPLOYEE"
"Counselling Form","counselling-form","acknowledgedByEmployeePosition","Position","text",TRUE,"","","ACKNOWLEDGED BY EMPLOYEE"
"Counselling Form","counselling-form","acknowledgedByEmployeeDate","Date","text",TRUE,"","","ACKNOWLEDGED BY EMPLOYEE"
"Counselling Form","counselling-form","nameOfEmployer","I, (Name of Employer)","text",TRUE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","nameOfEmployee","Hereby advise, (Name of Employee)","text",TRUE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","signedNameOfEmployer","Signed (Name of Employer)","text",TRUE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","employerSignatureDate","Date","text",TRUE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","employeeNameResponse","I, (Name of Employee)","text",FALSE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","employeeResponse","would respond to the above employer's comments regarding the conduct and/or performance of my work by stating::","textarea",FALSE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","signedNameOfEmployee","Signed (Name of Employee)","text",TRUE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","employeeSignatureDate","Date","text",TRUE,"","","NOTICE OF UNSATISFACTORY PERFORMANCE"
"Counselling Form","counselling-form","isTheMeetingConcludedForToday","Is the meeting concluded for today?","radio",FALSE,"Yes;No","",""
"Dcw Web Refund Request","dcw-web-refund-request","requester","Requester","text",TRUE,"","",""
"Dcw Web Refund Request","dcw-web-refund-request","netoOnlineOrderNumber","Neto/Online Order Number","text",TRUE,"","",""
"Dcw Web Refund Request","dcw-web-refund-request","prontoOrderNumber","Pronto Order Number","text",TRUE,"","",""
"Dcw Web Refund Request","dcw-web-refund-request","refundType","Refund Type","radio",TRUE,"Partial Refund (No Stock Sent);Full Refund (No Stock Sent);Stock Returned In Store","",""
"Dcw Web Refund Request","dcw-web-refund-request","refundAmount","Refund Amount $","currency",TRUE,"","",""
"Dcw Web Refund Request","dcw-web-refund-request","productRefunding","Product Refunding","text",TRUE,"","",""
"Dcw Web Refund Request","dcw-web-refund-request","skuIfApplicable","SKU (If Appliciable)","text",FALSE,"","",""
"Dcw Web Refund Request","dcw-web-refund-request","reasonForRefund","Reason for Refund - If more than one sku add below","textarea",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","dateOfReview","Date of Review","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","employeeFullName","Employee Full Name","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","employeeRole","Employee Role","radio",TRUE,"Store Manager;Assistant Manager;Employee - Store;Employee - Office","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","store","Store","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","reviewerFullName","Reviewer Full Name","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","reviewerConfirmation","Reviewer Confirmation","radio",TRUE,"I confirm that the information recorded in this form is accurate to the best of my knowledge, that the matters recorded have been discussed with the employee, and that the employee has been provided with an opportunity to respond.","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","reasonForReviewAndSubmission","Reason for Review and Submission","select",TRUE,"Performance Review;Performance Concern;Incident / Conduct Report;Grievance / Complaint;Follow-Up Review;Outstanding Performance / Recognition;Other (Please Specify)","Select all relevant options",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","followUpOutcome","Follow-Up Outcome","radio",FALSE,"Satisfactory;Unsatisfactory","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","specifiedOther","Specified Other","text",FALSE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","totalSalesPerformanceAssessment","Total $ Sales - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","gpDollarPerformanceAssessment","GP $ - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","gpPercentPerformanceAssessment","GP % - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","tcpPercentPerformanceAssessment","TCP % - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","accessoryAttachementPerformanceAssessment","Accessory Attachement - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","secondHandTradeIn","Second-Hand / Trade-In","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","printingLabFilmDevelopmentServices","Printing, Lab & Film Development Services","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","sensorCleaningFirmwareUpdatingServices","Sensor Cleaning and Firmware Updating Services","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","firstImpressionsFocusPerformanceAssessment","First Impressions (FOCUS) - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","openEndedQuestionsFocusPerformanceAssessment","Open Ended Questions (FOCUS) - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","customisedSolutionsFocusPerformanceAssessment","Customised Solutions (FOCUS) - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","upsellWithValueFocusPerformanceAssessment","Upsell With Value (FOCUS) - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","secureSatisfactionFocusPerformanceAssessment","Secure Satisfaction (FOCUS) - Performance Assessment","radio",FALSE,"Exceeding Expectations;Meeting Expectations;Area of Improvement;Significant Area of Improvement","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","keyPointsDiscussed","Key Points Discussed","textarea",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","agreedActionsExpectations","Agreed Actions & Expectations","textarea",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","reviewerSignature","Reviewer Signature","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","dateOfSignatureReviewer","Date of Signature","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","employeeResponse","Employee Response (If Applicable)","textarea",FALSE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","employeeAcknowledgement","Employee Acknowledgement","radio",TRUE,"I acknowledge that this document has been provided to me and that the matters outlined above have been discussed with me. I understand that my signature confirms receipt and discussion of the document and does not necessarily indicate that I agree with its contents or outcome.","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","employeeSignature","Employee Signature","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","dateOfSignatureEmployee","Date of Signature","text",TRUE,"","",""
"Employee Performance & Conduct Review Form","employee-performance-conduct-review-form","dateSetForReview","Date Set for Review","text",FALSE,"","",""
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","question1WhatIsBestWayToGreetCustomer","1. What is the BEST way to greet a customer who enters the store while you are helping someone else?","radio",TRUE,"A. Ignore them until you've finished with your current customer;B. Nod silently to acknowledge them;C. Ask your current customer to wait so you can help the new one;D. Say, ""Hi there, I'll be with you shortly!"" with a smile","","1. Knowledge Check - First Impressions"
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","question2WhichNotPartOfPresentingProfessionally","2. Which of the following is NOT considered part of presenting yourself professionally at Ted's Cameras?","radio",TRUE,"A. Wearing a clean branded uniform with a visible name badge;B. Using open, relaxed body language and making eye contact;C. Slouching with your arms crossed to look casual;D. Smiling genuinely and avoiding distractions like your phone","","2. Knowledge Check - First Impressions"
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","question3WhyMaintainCleanDemoModels","3. Why is it important to maintain clean and functioning demo models in the store?","radio",TRUE,"A. It helps avoid complaints from customers;B. Customers won't care as long as the products are on display;C. It encourages customers to interact and builds trust in the store's professionalism;D. It reduces the need to speak to customers","","3. Knowledge Check - First Impressions"
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","question4BestWayToAnswerPhone","4. A customer calls the store. Which of the following is the BEST way to answer the phone?","radio",TRUE,"A. ""Good afternoon, Ted's Cameras. This is [Your Name] speaking. How can I help you today?"";B. ""Hello."";C. ""Yeah, Ted's Cameras. What do you need?"";D. Let it ring until someone else answers","","4. Knowledge Check - First Impressions"
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","question5BodyLanguageApproachability","5. Which of the following body language cues BEST communicates approachability to a customer?","radio",TRUE,"A. Looking down at your phone while they browse;B. Standing with arms crossed behind the counter;C. Walking away until they ask for help;D. Standing upright with open and inviting body language","","5. Knowledge Check - First Impressions"
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","scenarioQuestion1BestGreeting","Question 1: What would have been the BEST way to greet the customer when they entered the store?","radio",TRUE,"A. Wait until they approach the counter, then ask if they need help;B. Immediately walk up to them and start explaining camera features;C. Smile, make eye contact, and say, ""Hi there! Welcome to Ted's Cameras. Looking for anything in particular today?"";D. Let them browse for a while without interruption","","Customer Scenario: ""The Browsing Beginner"""
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","scenarioQuestion2MakeCustomerAtEase","Question 2: The customer seems unsure and a bit nervous. What aspect of your presentation will help make them feel more at ease?","radio",TRUE,"A. Keep working quietly so you don't overwhelm them;B. Stand with a confident, relaxed posture and smile while staying visible and approachable;C. Cross your arms and watch them closely to show you're available;D. Ask them, ""Do you actually need help, or are you just looking?""","","Customer Scenario: ""The Browsing Beginner"""
"Focus Sales Training - Module 1: First Impressions","focus-sales-training-module-1-first-impressions","scenarioQuestion3EncourageEngagement","Question 3: The customer pauses in front of the glass cabinet and looks closely at a camera. They glance toward you but don't say anything. What should you do next to build on their first impression and encourage engagement?","radio",TRUE,"A. Wait behind the counter until they ask for help;B. Call out from a distance, ""Let me know if you want to see something"";C. Walk over and begin explaining all the features of that camera;D. Approach with a friendly smile and say, ""That's a great choice—would you like me to unlock the cabinet so you can take a closer look?""","","Customer Scenario: ""The Browsing Beginner"""
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","question1Answer","1. Why are open-ended questions important during customer interactions?","radio",TRUE,"A. They make conversations shorter and more efficient;B. They allow the customer to express their real ""needs"" and ""wants"";C. They help you close the sale faster;D. They help avoid having to ask follow-up questions","","1. Knowledge Check - Open-Ended Conversations"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","question2Answer","2. Which of the following is the best example of an open-ended question?","radio",TRUE,"A. ""Do you know which camera you want?"";B. ""Are you looking for something professional?"";C. ""What type of photography do you do most?"";D. ""Have you seen our latest catalogue?""","","2. Knowledge Check - Open-Ended Conversations"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","question3Answer","3. A customer says, ""My current camera just doesn't keep up."" What's the most appropriate next step?","radio",TRUE,"A. Start recommending high-end cameras immediately;B. Start a conversation with open-ended questions;C. Tell them your personal favourite camera;D. Recommend a cleaning service for their old camera","","3. Knowledge Check - Open-Ended Conversations"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","question4Answer","4. What's a key indicator that you are actively listening to a customer?","radio",TRUE,"A. Interrupting when you think you've heard enough;B. Waiting for them to finish and immediately offering a product;C. Maintaining eye contact, nodding and paraphrasing what they've said;D. Taking notes silently while they speak","","4. Knowledge Check - Open-Ended Conversations"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","question5Answer","5. Why is repeating back what the customer told you a valuable technique?","radio",TRUE,"A. It speeds up the interaction;B. It makes the customer feel like you're closing the sale;C. It fills in conversation gaps when unsure what to say;D. It helps build rapport and confirms their needs","","5. Knowledge Check - Open-Ended Conversations"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","scenario1Question1","1. Why is it important to ask open-ended questions in conversation?","textarea",TRUE,"","Think about what it encourages the customer to do","Scenario 1"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","scenario1Question2","2. What open-ended question could you ask to better understand what the customer is looking for in an upgrade?","textarea",TRUE,"","Think about their experience, interests, and current usage.","Scenario 1"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","scenario2Question1","How can active listening help in this interaction?","textarea",TRUE,"","Think about how it strengthens rapport and shows your understanding of what they need.","Scenario 2:"
"Focus Sales Training - Module 2: Open-conversations","focus-sales-training-module-2-open-conversations","scenario2Question2","2. Once the customer shares that portrait photography is their true focus, how could you respond in a way that shows you've listened carefully and understood their needs?","textarea",TRUE,"","For example, repeating back key details in your own words before suggesting options.","Scenario 2:"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","whyCustomisedSolution","1. Why is it important to provide a customised solution to each customer?","radio",TRUE,"It encourages customers to buy the same popular products that others have purchased.;It helps match the right camera or accessory to the customer's specific needs, making them feel listened to, confident, and excited about their choice.;It saves time by recommending the most common models rather than exploring individual needs.;It allows the salesperson to quickly highlight technical features without focusing on the customer's goals.","","1. Knowledge Check - Customised Solutions"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","avoidTooManyOptions","1. Why is it important to avoid giving too many product options to a customer?","radio",TRUE,"It helps the salesperson show off their product knowledge;It reduces the store's sales opportunities;Customers always prefer to see every single product available;Too many choices can overwhelm the customer","","2. Knowledge Check - Customised Solutions"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","topDownApproach","2. What does using a ""top-down approach"" mean in customised solutions?","radio",TRUE,"Starting with the cheapest option and working upward;Showing accessories before the main product;Presenting the best-fit option first (regardless of price), then moving to alternatives if needed;Asking the manager which product to recommend","","3. Knowledge Check - Customised Solutions"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","linkingFeaturesToBenefits","3. Which of the following best demonstrates linking features to benefits?","radio",TRUE,"This camera has a 24MP sensor and 10fps burst shooting.;This lens has a wide f1.4 aperture.;This camera's fast autofocus will help you capture sharp shots of your kids running at soccer.;This camera is one of our newest models.","","4. Knowledge Check - Customised Solutions"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","handsOnDemoValue","4. Why is a hands-on demo valuable in the sales process?","radio",TRUE,"Customers can feel more confident and see how the gear works for them;It gives the customer something to do while you check stock;It guarantees they will buy the product;It replaces the need for explaining product features","","5. Knowledge Check - Customised Solutions"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","comparingProducts","5. When comparing two products for a customer, what's the most effective approach?","radio",TRUE,"Focus only on the more expensive option;List every single technical spec of both products;Ask them to look it up online later;Walk them through key differences and link them back to their needs","","6. Knowledge Check - Customised Solutions"
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","wildlifePhotographerRecommendation","1. Recommend a camera and lens; explaining how they are the best fit for their wildlife photography goals.","textarea",TRUE,"","Think about the top-down selling approach","Scenario 1."
"Focus Sales Training - Module 3: Customised Solutions","focus-sales-training-module-3-customised-solutions","wildlifePhotographerAlternatives","2. Now that the customer has said it's outside their budget, how would you recommend 2–3 alternative options that still meet their main needs without overwhelming them?","textarea",TRUE,"","Think about how you would guide them through comparisons","Scenario 1. (Continued)"
